CLASS NAME,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
Young Einsteins: STEAM Lab Jr. (K),DUPLO,Hot Wheels,Bubbles,Natural Disasters,BeeBot,Ozobot,Cubelets,Tracks,Rocketry,Put the A in STEAM Day,LEGO Engineering,Vacuform,,,
LEGO Engineering: Evolution of Engineering (1-2),Medieval Machines,Tracks,Modern Machines,Circuit Cubes,Mindstorm Robotics,Hydraulics,,,,,,,,,
LEGO Engineering: Jedis & Superheroes (1-2),Jedi Engineering,Superhero Engineering,Tracks,Mindstorm Robotics,,,,,,,,,,,
Young Einsteins: STEAM Academy (1-2),Rocketry,Spy Day,Put the A in STEAM Day,LEGO Engineering,Cubelets,Launchers,Bubbles,Water,Air,Natural Disasters,Mindstorm Robotics,Tablet Game Design,Tracks,Hydraulics,Vacuform
Young Einsteins: Tech Academy (1-2),Ozobot,Cubelets,Tablet Coding,Meeper,Dash Robotics,Kano Wand,Sphero,Tablet Game Design,Circuitry,Circuit Cubes,Mindstorm Robotics,,,,
Young Einsteins: STEAM University (3-4),Circuit Cubes,Rocketry,Launchers,Bubbles,Air,Dash,Sphero,Tablet Game Design,Circuitry,Mindstorm Robotics,,,,,
Engineering & Robotics: Motors & Mindstorms (3-4),Circuit Cubes,Modern Machines,Tracks,Jedi Engineering,Superhero Engineering,Mindstorm Robotics,Hydraulics,,,,,,,,
Code Academy: Tech University (3-4),Dash,Kano Wand,Sphero,Fabrication,Kodu,Scratch,Adafruit,Code Combat,Minecraft Python Modding,Mindstorm Robotics,Laser Cutting,Vacuform,,,
STEAM Studio: Youtube & Moviemaking Masters (5-6),Youtube,VFX,Maya Animation,Filmmaking,,,,,,,,,,,
GameMaker: Game Development with Unity (5-6),Unity,Esplora,Gamemaker Studio,Unreal,,,,,,,,,,,
"Code Academy: Advanced Apps, Arduino & Robotics (5-6)",Python,Minecraft Python Modding,MIT App Inventor,Esplora,Arduino Uno,VEX,,,,,,,,,
Engineering & Robotics: Robo Revolution,Mindstorm Robotics,VEX,Altino,3D Printing,Fabrication,Launchers,Drones,Car Engineering,Laser Cutting,Vacuform,,,,,
GameMaker: 3D Game Dev. with Unity & Unreal,Unity,Esplora,Gamemaker Studio,Unreal,,,,,,,,,,,
GAMEMAKER: 3D Animation & Design with Autodesk Maya,Maya,Unreal,,,,,,,,,,,,,
"Code Academy: Advanced Apps, AI & Autonomous Cars",Python,Machine Learning,Unity,Android Studio,Altino,,,,,,,,,,
STEAM Studio: Youtube & Moviemaking Masters,Youtube,VFX,Maya Animation,Filmmaking,,,,,,,,,,,
